id;url;Perfume;Brand;Country;Gender;RatingValue;RatingCount;releaseYear;PerfumeTop;PerfumeMiddle;PerfumeBase;Perfumer1;Perfumer2;MainAccord1;MainAccord2;MainAccord3;MainAccord4;MainAccord5;caminho_imagem_local;Perfumes-seletos
10483;https://www.fragrantica.com/perfume/dior/miss-dior-eau-de-toilette-2019-53144.html;miss-dior-eau-de-toilette-2019;dior;France;women;393;814;20190.0;blood orange, mandarin orange;grasse rose, may rose, lily-of-the-valley;patchouli;fran�ois demachy;;citrus;rose;patchouli;woody;warm spicy;downloaded_images\10483_miss_dior_eau_de_toilette_2019.jpg;dior
10484;https://www.fragrantica.com/perfume/dior/poison-girl-35561.html;poison-girl;dior;France;women;393;8624;20160.0;bitter orange, lemon;damask rose, grasse rose, orange blossom;vanilla, almond, tonka bean, tolu balsam, sandalwood, cashmeran, heliotrope;fran�ois demachy;;vanilla;sweet;almond;powdery;citrus;downloaded_images\10484_poison_girl.jpg;dior
10494;https://www.fragrantica.com/perfume/giorgio-armani/acqua-di-gioia-intense-90952.html;acqua-di-gioia-intense;giorgio-armani;Italy;women;393;115;20240.0;citruses, red fruits;jasmine, damask rose;woodsy notes, musk;unknown;;citrus;fresh;fruity;woody;white floral;downloaded_images\10494_acqua_di_gioia_intense.jpg;giorgio-armani
10495;https://www.fragrantica.com/perfume/giorgio-armani/cypres-pantelleria-66244.html;cypres-pantelleria;giorgio-armani;Italy;unisex;393;273;20210.0;citron, bergamot, neroli, mandarin orange;water notes, cypress, clary sage;oakmoss, vetiver, amberwood, patchouli;alberto morillas;;woody;aromatic;citrus;aquatic;fresh;downloaded_images\10495_cypres_pantelleria.jpg;giorgio-armani
10508;https://www.fragrantica.com/perfume/jean-paul-gaultier/classique-summer-2013-17822.html;classique-summer-2013;jean-paul-gaultier;France;women;393;133;20130.0;orange blossom, clementine, sicilian lemon;jasmine sambac, ylang-ylang, white iris, rose;vanilla, amber, musk;unknown;;citrus;white floral;sweet;powdery;vanilla;downloaded_images\10508_classique_summer_2013.jpg;jean-paul-gaultier
10509;https://www.fragrantica.com/perfume/jean-paul-gaultier/ma-dame-eau-de-parfum-8001.html;ma-dame-eau-de-parfum;jean-paul-gaultier;France;women;393;688;20100.0;pink pepper, orange;rose, patchouli;musk, virginia cedar;unknown;;woody;rose;musky;patchouli;soft spicy;downloaded_images\10509_ma_dame_eau_de_parfum.jpg;jean-paul-gaultier
10535;https://www.fragrantica.com/perfume/natura/biografia-caminhos-67392.html;biografia-caminhos;natura;Brazil;men;393;55;20210.0;bergamot, black pepper, cardamom;cashmere wood, geranium;vetiver, patchouli, breu-branco;ver�nica kato;yves cassar;woody;warm spicy;fresh spicy;aromatic;citrus;downloaded_images\10535_biografia_caminhos.jpg;natura
10536;https://www.fragrantica.com/perfume/natura/revelar-26141.html;revelar;natura;Brazil;women;393;436;20000.0;sage, lemon, bergamot, lime;violet, bulgarian rose, lily-of-the-valley, jasmine, apricot, osmanthus;sandalwood, cedar, madagascar vanilla, musk, coumarin;antonio amador;vanessa prudent;woody;powdery;citrus;aromatic;violet;downloaded_images\10536_revelar.jpg;natura
10537;https://www.fragrantica.com/perfume/natura/flor-de-lis-54718.html;flor-de-lis;natura;Brazil;unisex;393;171;20180.0;sea water, bamboo leaf, ivy, lime, orange peel;azteca lily, water jasmine, melon, sunflower, green anjou pears;musk, violet leaf, white cedar extract, heliotrope, sandalwood;ver�nica kato;;woody;marine;ozonic;aquatic;powdery;downloaded_images\10537_flor_de_lis.jpg;natura
10540;https://www.fragrantica.com/perfume/o-boticario/arbo-forest-75819.html;arbo-forest;o-boticario;Brazil;men;393;114;20220.0;green notes, apple, lavender, citruses;ozonic notes, cedar, rhubarb, violet;musk, moss, vetiver, patchouli, amber, labdanum;leandro petit;marion costero;green;woody;fruity;earthy;aromatic;downloaded_images\10540_arbo_forest.jpg;o-boticario
10541;https://www.fragrantica.com/perfume/o-boticario/arbo-ocean-42915.html;arbo-ocean;o-boticario;Brazil;men;393;255;20160.0;lemon, violet leaves, grapes, coriander;lavender, rosemary, sage, juniper;amber, musk, cedar, vanilla;unknown;;aromatic;citrus;woody;amber;fresh spicy;downloaded_images\10541_arbo_ocean.jpg;o-boticario
10542;https://www.fragrantica.com/perfume/o-boticario/botica-214-fiji-paradise-84213.html;botica-214-fiji-paradise;o-boticario;Brazil;women;393;206;20230.0;pear, pink pepper, mandarin orange;freesia, rose, peony, black pepper, elemi;musk, amber, patchouli, cashmeran, vanilla, sandalwood, cedar;coralie spicher;fabrice pellegrin;floral;woody;rose;musky;powdery;downloaded_images\10542_botica_214_fiji_paradise.jpg;o-boticario
10543;https://www.fragrantica.com/perfume/o-boticario/coffee-man-sense-61401.html;coffee-man-sense;o-boticario;Brazil;men;393;89;20200.0;guatemalan cardamom, mint, italian lemon, sicilian bergamot, italian mandarin;cypress, madagascar pepper, skin, tropical fruits, watery notes;caramel, cedar, haitian vetiver, patchouli, violet leaves, musk, peach;hernan f�goli;leandro petit;aromatic;woody;fresh spicy;warm spicy;green;downloaded_images\10543_coffee_man_sense.jpg;o-boticario
